lfd. Nummer,ID Nummer,Artikelart,Benennung,Artikelbezeichnung,Menge EVO Spartan,Menge EVO Lightweight,Menge EVO Balance,default_code,Einzelpreis_raw,Gesamtpreis_raw,Packungspreis_raw,Packungsmenge,Kommentar,qty_spartan,qty_lightweight,qty_balance,qty_unit,unit_price_eur,unit_price_unit,total_price_eur,pack_price_eur,pack_price_unit,pack_qty,pack_qty_unit,warehouse_id
57,9.8.1,Kaufartikel,PLA Filament - Schwarz,PLA Filament 3mm - Schwarz,"22,37 g",0,0,V_BLACK_9,"0,03€/g","0,67€","29,99€","1000 g","passt",22.37,0,0,g,0.03,€/g,0.67,29.99,€,1000.0,g,019.1.007
58,10.1,Eigenfertigung,Grundplatte EVO 2 Lightweight weiss,Grundplatte EVO 2 Lightweight weiss,0,1 stk.,0,V_L_WHITE_75,"6,48€/stk.","6,48€","",0,"",0,1.0,0,stk.,6.48,€/stk.,6.48,0,"",0,"",019.2.014
59,10.1.1,Kaufartikel,Acryl Glasplatte - weiß,Acryl Glasplatte - Weiß 1000mm*330mm*5mm (3300 cm^2),0,"1.063,00 cm^2",0,V_WHITE_7,"6,20€/3300cm^2","2,00€","6,20€","1.000,00 cm^2","Eine Platte",0,1063.0,0,"cm^2",6.2,€/3300cm^2,2.0,6.2,€,1000.0,"cm^2",019.1.009
60,10.2,Eigenfertigung,Grundplatte EVO 2 Lightweight blau,Grundplatte EVO 2 Lightweight blau,0,1 stk.,0,V_L_BLUE_75,"6,48€/stk.","6,48€","",0,"",0,1.0,0,stk.,6.48,€/stk.,6.48,0,"",0,"",019.2.015
61,10.2.1,Kaufartikel,Acryl Glasplatte - blau,Acryl Glasplatte - Weiß 1000mm*330mm*5mm (3300 cm^2),0,"1.063,00 cm^2",0,V_BLUE_7,"6,20€/3300cm^2","2,00€","6,20€","1.000,00 cm^2","Eine Platte",0,1063.0,0,"cm^2",6.2,€/3300cm^2,2.0,6.2,€,1000.0,"cm^2",019.1.011
62,10.3,Eigenfertigung,Grundplatte EVO 2 Lightweight schwarz,Grundplatte EVO 2 Lightweight schwarz,0,1 stk.,0,V_L_BLACK_75,"6,48€/stk.","6,48€","",0,"",0,1.0,0,stk.,6.48,€/stk.,6.48,0,"",0,"",019.2.016
63,10.3.1,Kaufartikel,Acryl Glasplatte - schwarz,Acryl Glasplatte - Weiß 1000mm*330mm*5mm (3300 cm^2),0,"1.063,00 cm^2",0,V_BLACK_7,"6,20€/3300cm^2","2,00€","6,20€","1.000,00 cm^2","Eine Platte",0,1063.0,0,"cm^2",6.2,€/3300cm^2,2.0,6.2,€,1000.0,"cm^2",019.1.013
64,11.1,Eigenfertigung,Fuß EVO2 Lightweight weiss,Fuß 35mm Lightweight weiss,0,4 stk.,0,V_L_WHITE_31,"0,11€/stk.","1,37€","",0,"passt",0,4.0,0,stk.,0.11,€/stk.,1.37,0,"",0,"",020.2.008
65,11.1.1,Kaufartikel,PLA Filament - Weiß,PLA Filament 3mm - Weiß,0,"14,21 g",0,V_WHITE_9,"0,03€/g","0,43€","29,99€","1000 g","passt",0,14.21,0,g,0.03,€/g,0.43,29.99,€,1000.0,g,019.1.000
66,11.2,Eigenfertigung,Fuß EVO2 Lightweight gelb,Fuß 35mm Lightweight gelb,0,4 stk.,0,V_L_YELLOW_31,"0,11€/stk.","1,37€","",0,"passt",0,4.0,0,stk.,0.11,€/stk.,1.37,0,"",0,"",020.2.009
67,11.2.1,Kaufartikel,PLA Filament - Gelb,PLA Filament 3mm - Gelb,0,"14,21 g",0,V_YELLOW_9,"0,03€/g","0,43€","29,99€","1000 g","passt",0,14.21,0,g,0.03,€/g,0.43,29.99,€,1000.0,g,019.1.001
68,11.3,Eigenfertigung,Fuß EVO2 Lightweight rot,Fuß 35mm Lightweight rot,0,4 stk.,0,V_L_RED_31,"0,11€/stk.","1,37€","",0,"passt",0,4.0,0,stk.,0.11,€/stk.,1.37,0,"",0,"",020.2.010
69,11.3.1,Kaufartikel,PLA Filament - Rot,PLA Filament 3mm - Rot,0,"14,21 g",0,V_RED_9,"0,03€/g","0,43€","29,99€","1000 g","passt",0,14.21,0,g,0.03,€/g,0.43,29.99,€,1000.0,g,019.1.002
70,11.4,Eigenfertigung,Fuß EVO2 Lightweight grün,Fuß 35mm Lightweight grün,0,4 stk.,0,V_L_GREEN_31,"0,11€/stk.","1,37€","",0,"passt",0,4.0,0,stk.,0.11,€/stk.,1.37,0,"",0,"",020.2.011
71,11.4.1,Kaufartikel,PLA Filament - Grün,PLA Filament 3mm - Grün,0,"14,21 g",0,V_GREEN_9,"0,03€/g","0,43€","29,99€","1000 g","passt",0,14.21,0,g,0.03,€/g,0.43,29.99,€,1000.0,g,019.1.003
72,11.5,Eigenfertigung,Fuß EVO2 Lightweight blau,Fuß 35mm Lightweight blau,0,4 stk.,0,V_L_BLUE_31,"0,11€/stk.","1,37€","",0,"passt",0,4.0,0,stk.,0.11,€/stk.,1.37,0,"",0,"",020.2.012
73,11.5.1,Kaufartikel,PLA Filament - Blau,PLA Filament 3mm - Blau,0,"14,21 g",0,V_BLUE_9,"0,03€/g","0,43€","29,99€","1000 g","passt",0,14.21,0,g,0.03,€/g,0.43,29.99,€,1000.0,g,019.1.004
74,11.6,Eigenfertigung,Fuß EVO2 Lightweight braun,Fuß 35mm Lightweight braun,0,4 stk.,0,V_L_BROWN_31,"0,11€/stk.","1,37€","",0,"passt",0,4.0,0,stk.,0.11,€/stk.,1.37,0,"",0,"",020.2.013
75,11.6.1,Kaufartikel,PLA Filament - Braun,PLA Filament 3mm - Braun,0,"14,21 g",0,V_BROWN_9,"0,03€/g","0,43€","29,99€","1000 g","passt",0,14.21,0,g,0.03,€/g,0.43,29.99,€,1000.0,g,019.1.005
76,11.7,Eigenfertigung,Fuß EVO2 Lightweight orange,Fuß 35mm Lightweight orange,0,4 stk.,0,V_L_ORANGE_31,"0,11€/stk.","1,37€","",0,"passt",0,4.0,0,stk.,0.11,€/stk.,1.37,0,"",0,"",020.2.014
77,11.7.1,Kaufartikel,PLA Filament - Orange,PLA Filament 3mm - Orange,0,"14,21 g",0,V_ORANGE_9,"0,03€/g","0,43€","29,99€","1000 g","passt",0,14.21,0,g,0.03,€/g,0.43,29.99,€,1000.0,g,019.1.006
78,11.8,Eigenfertigung,Fuß EVO2 Lightweight schwarz,Fuß 35mm Lightweight schwarz,0,4 stk.,0,V_L_BLACK_31,"0,11€/stk.","1,37€","",0,"passt",0,4.0,0,stk.,0.11,€/stk.,1.37,0,"",0,"",020.2.015
79,11.8.1,Kaufartikel,PLA Filament - Schwarz,PLA Filament 3mm - Schwarz,0,"14,21 g",0,V_BLACK_9,"0,03€/g","0,43€","29,99€","1000 g","passt",0,14.21,0,g,0.03,€/g,0.43,29.99,€,1000.0,g,019.1.007
80,12.1,Eigenfertigung,Grundplatte EVO 2 Balance weiss,Grundplatte EVO 2 Balance weiss,0,0,1 stk.,V_B_WHITE_75,"6,48€/stk.","6,48€","",0,"",0,0,1.0,stk.,6.48,€/stk.,6.48,0,"",0,"",019.2.017
81,12.1.1,Kaufartikel,Acryl Glasplatte - weiß,Acryl Glasplatte - Weiß 1000mm*330mm*5mm (3300 cm^2),0,0,"1.063,00 cm^2",V_WHITE_7,"6,20€/3300cm^2","2,00€","6,20€","1.000,00 cm^2","Eine Platte",0,0,1063.0,"cm^2",6.2,€/3300cm^2,2.0,6.2,€,1000.0,"cm^2",019.1.009
82,12.2,Eigenfertigung,Grundplatte EVO 2 Balance blau,Grundplatte EVO 2 Balance blau,0,0,1 stk.,V_B_BLUE_75,"6,48€/stk.","6,48€","",0,"",0,0,1.0,stk.,6.48,€/stk.,6.48,0,"",0,"",019.2.018
83,12.2.1,Kaufartikel,Acryl Glasplatte - blau,Acryl Glasplatte - Weiß 1000mm*330mm*5mm (3300 cm^2),0,0,"1.063,00 cm^2",V_BLUE_7,"6,20€/3300cm^2","2,00€","6,20€","1.000,00 cm^2","Eine Platte",0,0,1063.0,"cm^2",6.2,€/3300cm^2,2.0,6.2,€,1000.0,"cm^2",019.1.011
84,12.3,Eigenfertigung,Grundplatte EVO 2 Balance schwarz,Grundplatte EVO 2 Balance schwarz,0,0,1 stk.,V_B_BLACK_75,"6,48€/stk.","6,48€","",0,"",0,0,1.0,stk.,6.48,€/stk.,6.48,0,"",0,"",019.2.019
